id	T02	T04	T06	T08	T10	T12	T14	T01	T03	T05	T07	T09	T11	T13
Ap4b1	1361	1270	1179	1088	907	1157	1410	833	968	877	1052	1140	1228	1316
Ap4e1	2307	2153	1999	1846	1538	1495	1264	1674	1798	1879	2255	2443	2631	2819
Ap4m1	1385	1292	1200	1108	923	1084	1103	799	1078	888	1066	1154	1243	1332
Ap4s1	537	501	465	430	358	307	430	466	565	478	574	621	669	717
Ap5b1	938	875	813	750	625	840	748	457	505	497	596	646	696	746
Ap5m1	804	750	697	643	536	523	465	612	853	693	832	901	970	1040
Ap5s1	324	302	281	259	216	284	444	348	471	383	460	498	536	575
Ap5z1	959	895	831	767	639	1165	1257	776	1115	788	946	1024	1103	1182
Apaf1	1473	1375	1277	1178	982	1069	1016	834	1093	1095	1314	1424	1533	1643
Apba1	0	0	0	0	0	2	4	0	7	11	13	14	15	17
Apba2	0	0	0	0	0	0	0	0	0	3	4	4	4	5
Apba3	1778	1659	1541	1422	1185	1598	1596	1405	1474	1284	1541	1669	1798	1926
Apbb1	1044	974	905	835	696	808	781	926	1078	818	982	1063	1145	1227
Apbb1ip	5322	4967	4612	4258	3548	2819	2442	2823	2721	2939	3527	3821	4115	4409
Apbb2	6950	6486	6023	5560	4633	4161	4546	2796	3660	3328	3994	4326	4659	4992
Apbb3	629	587	545	503	419	566	590	398	488	352	422	458	493	528
Apc	6120	5712	5304	4896	4080	4017	3215	2990	3717	3680	4416	4784	5152	5520
Apc2	537	501	465	430	358	470	312	741	844	842	1010	1095	1179	1263
Apcdd1	2867	2675	2484	2293	1911	1532	1306	3994	2569	4150	4980	5395	5810	6225
Apcs	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apeh	6107	5699	5292	4885	4071	4430	5156	4051	4264	4102	4922	5333	5743	6153
Apela	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apex1	947	883	820	757	631	687	711	836	747	694	833	902	972	1041
Apex2	1487	1387	1288	1189	991	832	1053	677	517	973	1168	1265	1362	1460
Aph1a	4932	4603	4274	3946	3288	3215	3746	4054	3824	3677	4412	4780	5148	5516
Aph1b	600	560	520	480	400	393	409	661	918	656	787	853	918	984
Aph1c	3	3	3	2	2	1	0	0	3	0	0	0	0	0
Api5	15789	14736	13684	12631	10526	8394	8236	10301	9449	11130	13356	14469	15582	16695
Apip	588	549	510	470	392	372	492	489	519	462	554	601	647	693
Apitd1	1316	1228	1140	1052	877	773	867	1021	917	866	1039	1126	1212	1299
Aplf	920	858	797	736	613	656	759	573	631	754	905	980	1056	1131
Apln	2912	2717	2523	2329	1941	1604	1172	1594	1197	1985	2382	2581	2779	2978
Aplnr	8	7	7	6	5	2	0	5	0	3	4	4	4	5
Aplp1	6	6	5	5	4	2	1	7	2	28	34	36	39	42
Aplp2	30213	28199	26185	24170	20142	18228	19941	24196	26881	25689	30827	33396	35965	38534
Apmap	1674	1562	1451	1339	1116	1079	1274	2135	2183	2272	2726	2954	3181	3408
Apoa1	0	0	0	0	0	0	0	0	1	2	2	3	3	3
Apoa1bp	2069	1931	1793	1655	1379	1646	2123	1698	1864	1489	1787	1936	2085	2234
Apoa2	0	0	0	0	0	0	0	2	0	3	4	4	4	5
Apoa4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apoa5	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Apob	215	200	186	172	143	155	88	12	4	10	12	13	14	15
Apobec1	156	146	135	125	104	117	408	10	23	3	4	4	4	5
Apobec2	0	0	0	0	0	10	14	5	7	12	14	16	17	18
Apobec3	3011	2810	2609	2408	2007	1859	2277	1493	1818	1628	1954	2116	2279	2442
Apobec4	0	0	0	0	0	0	2	0	0	1	1	1	1	2
Apobr	4454	4157	3860	3563	2969	4094	3908	2945	3544	3200	3840	4160	4480	4800
Apoc1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Apoc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apoc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apoc4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apoc4-apoc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apod	5	4	4	4	3	0	0	3	0	3	4	4	4	5
Apoe	419	391	363	335	279	342	359	196	298	181	217	235	253	272
Apof	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Apoh	6	6	5	5	4	2	4	0	0	1	1	1	1	2
Apol10a	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apol10b	66	62	57	53	44	56	46	14	24	18	22	23	25	27
Apol11a	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apol11b	0	0	0	0	0	0	2	0	0	1	1	1	1	2
Apol6	11	10	9	8	7	9	17	2	0	0	0	0	0	0
Apol7a	20	18	17	16	13	30	19	3	3	3	4	4	4	5
Apol7b	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apol7c	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apol7d	23	21	20	18	15	8	8	4	5	3	4	4	4	5
Apol7e	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apol8	23	21	20	18	15	24	28	29	40	25	30	33	35	38
Apol9a	174	162	151	139	116	267	384	53	65	47	56	61	66	71
Apol9b	405	378	351	324	270	560	751	64	96	70	84	91	98	105
Apold1	18	17	16	14	12	23	11	2	7	7	8	9	10	11
Apom	36	34	31	29	24	15	29	21	16	13	16	17	18	20
Apon	18	17	16	14	12	7	12	4	1	4	5	5	6	6
Apoo	96	90	83	77	64	53	86	87	62	64	77	83	90	96
Apoo-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apool	917	855	794	733	611	587	798	549	613	583	700	758	816	875
Apopt1	954	890	827	763	636	712	954	683	783	699	839	909	979	1049
App	22898	21371	19845	18318	15265	16138	18084	11795	14374	12024	14429	15631	16834	18036
Appbp2	6165	5754	5343	4932	4110	3516	2635	3025	2848	3479	4175	4523	4871	5219
Appbp2os	45	42	39	36	30	40	46	37	25	42	50	55	59	63
Appl1	6182	5769	5357	4945	4121	3753	3917	3273	3915	3616	4339	4701	5062	5424
Appl2	917	855	794	733	611	845	757	818	1112	842	1010	1095	1179	1263
Aprt	13500	12600	11700	10800	9000	8962	10183	8224	6393	6909	8291	8982	9673	10364
Aptx	740	690	641	592	493	595	779	520	684	482	578	627	675	723
Aqp1	2724	2542	2361	2179	1816	1972	2577	10230	10111	10032	12038	13042	14045	15048
Aqp11	45	42	39	36	30	40	27	122	118	96	115	125	134	144
Aqp12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqp2	24	22	21	19	16	15	3	20	22	26	31	34	36	39
Aqp3	78	73	68	62	52	165	189	36	50	45	54	59	63	68
Aqp4	0	0	0	0	0	0	0	0	0	2	2	3	3	3
Arl6	915	854	793	732	610	601	818	490	660	486	583	632	680	729
Arl6ip1	18314	17093	15872	14651	12209	12714	12858	7570	7817	8321	9985	10817	11649	12482
Arl6ip4	989	923	857	791	659	646	658	1333	1116	1059	1271	1377	1483	1589
Arl6ip5	5825	5436	5048	4660	3883	3308	3645	3683	3655	3422	4106	4449	4791	5133
Arl6ip6	3458	3227	2997	2766	2305	2131	2791	2753	2435	2536	3043	3297	3550	3804
Arl8a	2835	2646	2457	2268	1890	2699	3379	3187	3706	3520	4224	4576	4928	5280
Arl8b	7641	7132	6622	6113	5094	5359	6422	3916	4657	4733	5680	6153	6626	7100
Arl9	11	10	9	8	7	7	5	4	9	1	1	1	1	2
Armc1	5222	4873	4525	4177	3481	3255	3308	2870	2921	2898	3478	3767	4057	4347
Armc10	4013	3745	3478	3210	2675	2549	2937	2302	2740	2403	2884	3124	3364	3605
Armc12	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Armc2	210	196	182	168	140	160	172	101	177	90	108	117	126	135
Armc3	5	4	4	4	3	0	1	3	6	0	0	0	0	0
Armc4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Armc5	1866	1742	1617	1493	1244	1192	1483	900	990	802	962	1043	1123	1203
Armc6	1977	1845	1713	1582	1318	1303	1374	683	744	785	942	1021	1099	1178
Armc7	414	386	359	331	276	234	228	160	191	134	161	174	188	201
Armc8	2387	2227	2068	1909	1591	1571	1621	1318	1483	1564	1877	2033	2190	2346
Armc9	965	900	836	772	643	690	640	411	541	407	488	529	570	611
Armcx1	0	0	0	0	0	0	0	1	0	1	1	1	1	2
Armcx2	8	7	7	6	5	1	0	6	0	2	2	3	3	3
Armcx3	0	0	0	0	0	0	0	1	0	1	1	1	1	2
Armcx4	869	811	753	695	579	684	402	2	3	10	12	13	14	15
Armcx5	330	308	286	264	220	278	318	178	192	199	239	259	279	299
Armcx6	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Armt1	2010	1876	1742	1608	1340	1069	1215	842	832	971	1165	1262	1359	1457
Arnt	4341	4052	3762	3473	2894	3201	2800	2683	3157	2865	3438	3725	4011	4298
Arnt2	12	11	10	10	8	7	0	2	0	7	8	9	10	11
Arntl	897	837	777	718	598	769	1133	603	742	1039	1247	1351	1455	1559
Arntl2	1482	1383	1284	1186	988	1058	1006	724	995	837	1004	1088	1172	1256
Arpc1a	5120	4778	4437	4096	3413	3380	3562	2806	2632	2760	3312	3588	3864	4140
Arpc1b	29348	27391	25435	23478	19565	19440	20963	25528	20723	22847	27416	29701	31986	34271
Arpc2	18426	17198	15969	14741	12284	10980	13676	11202	9531	11426	13711	14854	15996	17139
Arpc3	6297	5877	5457	5038	4198	4063	4851	4278	3804	4628	5554	6016	6479	6942
Arpc4	7598	7091	6585	6078	5065	4146	4015	4216	3100	4226	5071	5494	5916	6339
Arpc5	10916	10188	9460	8732	7277	6409	7270	7342	6459	7136	8563	9277	9990	10704
Arpc5l	3384	3158	2933	2707	2256	2041	2375	1961	1831	1813	2176	2357	2538	2720
Arpin	3927	3665	3403	3142	2618	2827	2965	2704	2769	2661	3193	3459	3725	3992
Arpp19	6467	6035	5604	5173	4311	3985	4544	3344	3280	3296	3955	4285	4614	4944
Arpp21	0	0	0	0	0	0	0	0	0	5	6	7	7	8
Arr3	0	0	0	0	0	1	1	0	1	0	0	0	0	0
Arrb1	1449	1352	1256	1159	966	1529	887	1562	1695	1598	1918	2077	2237	2397
Arrb2	1766	1648	1530	1412	1177	1258	1619	1123	1386	1206	1447	1568	1688	1809
Arrdc1	3641	3398	3155	2912	2427	2840	3460	1746	2021	1583	1900	2058	2216	2375
Arrdc2	659	615	571	527	439	559	538	552	612	429	515	558	601	644
Arrdc3	873	815	757	698	582	850	832	1615	1622	1723	2068	2240	2412	2585
Arrdc4	14	13	12	11	9	8	8	0	0	2	2	3	3	3
Arrdc5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arsa	3734	3485	3236	2987	2489	3199	3848	2820	3617	2769	3323	3600	3877	4154
Arsb	3752	3501	3251	3001	2501	2640	2787	2425	3234	2408	2890	3130	3371	3612
Arsg	42	39	36	34	28	40	65	47	75	74	89	96	104	111
Arsi	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arsj	3	3	3	2	2	0	2	1	0	1	1	1	1	2
Arsk	221	206	191	176	147	165	194	216	230	201	241	261	281	302
Art1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Art2a-ps	0	0	0	0	0	1	0	0	0	1	1	1	1	2
Art2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Art3	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Art4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Art5	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Artn	2562	2391	2220	2050	1708	2502	5000	827	1410	701	841	911	981	1052
Arv1	1383	1291	1199	1106	922	783	832	403	435	390	468	507	546	585
Arvcf	1211	1130	1049	968	807	1482	1410	715	980	784	941	1019	1098	1176
Arx	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arxes1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arxes2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
As3mt	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asah1	8936	8340	7744	7148	5957	6549	9242	5876	7159	6684	8021	8689	9358	10026
Asah2	1263	1179	1095	1010	842	1147	1092	774	1087	967	1160	1257	1354	1451
Asap1	26504	24737	22970	21203	17669	17532	18245	17332	19711	17688	21226	22994	24763	26532
Asap2	5739	5356	4974	4591	3826	3869	3697	6861	8084	8012	9614	10416	11217	12018
Asap3	293	273	254	234	195	299	359	157	316	184	221	239	258	276
Asb1	1061	990	919	848	707	768	525	813	794	931	1117	1210	1303	1397
Asb10	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Asb11	0	0	0	0	0	0	1	0	0	2	2	3	3	3
Asb12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asb13	1206	1126	1045	965	804	722	784	511	550	502	602	653	703	753
Asb14	14	13	12	11	9	19	37	16	15	16	19	21	22	24
Asb15	3	3	3	2	2	0	0	0	0	0	0	0	0	0
Asb16	39	36	34	31	26	32	22	0	0	0	0	0	0	0
Asb17	0	0	0	0	0	0	1	0	0	1	1	1	1	2
Asb17os	2	1	1	1	1	0	1	0	0	1	1	1	1	2
Asb18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asb2	27	25	23	22	18	33	58	0	0	0	0	0	0	0
Asb3	950	886	823	760	633	695	933	624	799	654	785	850	916	981
Asb4	242	225	209	193	161	96	51	0	0	3	4	4	4	5
Asb5	12	11	10	10	8	0	2	2	0	0	0	0	0	0
Asb6	3006	2806	2605	2405	2004	1805	1873	1806	1309	1675	2010	2178	2345	2513
Asb7	947	883	820	757	631	847	942	980	1402	922	1106	1199	1291	1383
Asb8	1653	1543	1433	1322	1102	1067	1313	947	1021	1028	1234	1336	1439	1542
Asb9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascc1	1175	1096	1018	940	783	899	1110	853	1015	832	998	1082	1165	1248
Ascc2	4818	4497	4176	3854	3212	3026	2781	2665	2765	2801	3361	3641	3921	4202
Ascc3	3650	3406	3163	2920	2433	2267	2102	1432	1631	1649	1979	2144	2309	2474
Ascl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascl2	0	0	0	0	0	0	0	0	0	4	5	5	6	6
Ascl3	0	0	0	0	0	0	2	0	2	0	0	0	0	0
Ascl4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascl5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asf1a	1775	1656	1538	1420	1183	1124	1482	1126	1016	1084	1301	1409	1518	1626
Asf1b	7578	7073	6568	6062	5052	4623	5213	4510	3842	4588	5506	5964	6423	6882
Asgr1	0	0	0	0	0	3	4	16	12	12	14	16	17	18
Asgr2	0	0	0	0	0	0	0	0	0	1	1	1	1	2
Ash1l	6999	6532	6066	5599	4666	4860	4026	4654	5853	5810	6972	7553	8134	8715
Ash2l	12882	12023	11164	10306	8588	7325	8039	5972	5769	6115	7338	7950	8561	9173
Asic1	510	476	442	408	340	522	532	671	942	653	784	849	914	980
Asic2	2	1	1	1	1	0	0	0	0	1	1	1	1	2
Asic3	8	7	7	6	5	16	33	3	18	6	7	8	8	9
Asic4	0	0	0	0	0	5	1	1	0	0	0	0	0	0
Asic5	2	1	1	1	1	11	7	0	0	0	0	0	0	0
Asl	2244	2094	1945	1795	1496	1845	1901	1696	1746	1533	1840	1993	2146	2300
Asmt	0	0	0	0	0	0	4	0	4	1	1	1	1	2
Asna1	7959	7428	6898	6367	5306	4890	5530	3610	2985	3316	3979	4311	4642	4974
Asns	13868	12943	12019	11094	9245	12288	20376	10609	14934	12008	14410	15610	16811	18012
Asnsd1	7014	6546	6079	5611	4676	4865	5051	2819	3005	2704	3245	3515	3786	4056
Atp6v1g1	4395	4102	3809	3516	2930	3733	4967	3703	3902	3395	4074	4414	4753	5093
Atp6v1g2	95	88	82	76	63	113	132	108	188	135	162	176	189	203
Atp6v1g3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1h	3398	3171	2945	2718	2265	2300	2644	1491	1337	1545	1854	2009	2163	2318
Atp7a	1458	1361	1264	1166	972	1021	828	920	1110	1134	1361	1474	1588	1701
Atp7b	32	29	27	25	21	59	19	2	25	8	10	10	11	12
Atp8a1	822	767	712	658	548	685	520	289	478	289	347	376	405	434
Atp8a2	14	13	12	11	9	3	1	1	5	3	4	4	4	5
Atp8b1	5	4	4	4	3	13	9	0	0	0	0	0	0	0
Atp8b2	8949	8352	7756	7159	5966	6505	4924	8621	8312	9534	11441	12394	13348	14301
Atp8b3	12	11	10	10	8	22	22	12	18	27	32	35	38	41
Atp8b4	45	42	39	36	30	19	19	49	29	52	62	68	73	78
Atp8b5	5	4	4	4	3	0	6	8	4	4	5	5	6	6
Atp9a	3099	2892	2686	2479	2066	2430	2642	4270	5241	4419	5303	5745	6187	6629
Atp9b	3714	3466	3219	2971	2476	2448	2609	2777	3083	2808	3370	3650	3931	4212
Atpaf1	1193	1113	1034	954	795	792	872	831	866	794	953	1032	1112	1191
Atpaf2	4208	3927	3647	3366	2805	2306	2912	2412	2221	2329	2795	3028	3261	3494
Atpif1	3432	3203	2974	2746	2288	2359	2730	2495	2193	2180	2616	2834	3052	3270
Atr	3735	3486	3237	2988	2490	2387	2079	2051	2518	2075	2490	2698	2905	3113
Atraid	993	927	861	794	662	670	1077	648	931	600	720	780	840	900
Atrip	1851	1728	1604	1481	1234	1307	1421	1152	1218	932	1118	1212	1305	1398
Atrn	4715	4400	4086	3772	3143	2895	2597	3051	3187	3238	3886	4209	4533	4857
Atrnl1	3800	3546	3293	3040	2533	2804	2060	2041	2500	2021	2425	2627	2829	3032
Atrx	12092	11285	10479	9673	8061	8196	6574	6538	8418	7771	9325	10102	10879	11657
Atxn1	665	620	576	532	443	412	486	357	455	333	400	433	466	500
Atxn10	9900	9240	8580	7920	6600	5895	7263	4942	4659	4901	5881	6371	6861	7352
Atxn1l	7334	6845	6356	5867	4889	4930	4137	4756	4916	4619	5543	6005	6467	6929
Atxn2	6855	6398	5941	5484	4570	4752	4456	4174	4633	5035	6042	6546	7049	7553
Atxn2l	20976	19578	18179	16781	13984	17193	21950	13525	17502	15133	18160	19673	21186	22700
Atxn3	2396	2236	2076	1916	1597	1469	1304	1564	1889	1861	2233	2419	2605	2792
Atxn7	1788	1669	1550	1430	1192	1314	1230	1522	1763	1504	1805	1955	2106	2256
Atxn7l1	2028	1893	1758	1622	1352	1283	1425	1137	1112	1252	1502	1628	1753	1878
Atxn7l1os2	2	1	1	1	1	6	3	1	5	5	6	7	7	8
Atxn7l2	1362	1271	1180	1090	908	1068	866	869	850	845	1014	1099	1183	1268
Atxn7l3	7364	6873	6382	5891	4909	5542	5031	5542	5416	5304	6365	6895	7426	7956
Atxn7l3b	4361	4070	3779	3488	2907	3198	3288	2399	2612	2517	3020	3272	3524	3776
Auh	750	700	650	600	500	684	767	736	808	664	797	863	930	996
Aunip	1283	1197	1112	1026	855	834	990	955	830	900	1080	1170	1260	1350
Aup1	6812	6357	5903	5449	4541	4628	5442	4962	5206	5097	6116	6626	7136	7646
Aurka	7470	6972	6474	5976	4980	4443	4467	5365	5112	6436	7723	8367	9010	9654
Aurkaip1	3918	3657	3396	3134	2612	2543	2983	3492	3315	3404	4085	4425	4766	5106
Aurkb	8487	7921	7355	6790	5658	6182	6356	6611	6447	6824	8189	8871	9554	10236
Aurkc	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Auts2	2	1	1	1	1	0	0	1	0	2	2	3	3	3
Aven	1907	1779	1652	1525	1271	1104	1189	1333	1194	1182	1418	1537	1655	1773
Avil	9	8	8	7	6	17	13	0	11	9	11	12	13	14
Avl9	2936	2740	2544	2348	1957	1944	1935	1529	1862	1732	2078	2252	2425	2598
Avp	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Avpi1	3807	3553	3299	3046	2538	2668	3212	1347	1085	1208	1450	1570	1691	1812
Avpr1a	5	4	4	4	3	0	0	0	0	0	0	0	0	0
Avpr1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Avpr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Awat1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Awat2	44	41	38	35	29	27	41	9	38	18	22	23	25	27
Axin1	8427	7865	7303	6742	5618	5575	5870	5841	6032	5641	6769	7333	7897	8462
Axin2	0	0	0	0	0	0	0	2	0	3	4	4	4	5
Axl	80649	75272	69896	64519	53766	49079	46219	50285	52858	49162	58994	63911	68827	73743
Aym1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azgp1	0	0	0	0	0	0	0	0	0	1	1	1	1	2
Azi2	5099	4759	4419	4079	3399	3820	3862	3103	3538	3230	3876	4199	4522	4845
Azin1	27294	25474	23655	21835	18196	15912	17189	13895	15173	15358	18430	19965	21501	23037
Azin2	138	129	120	110	92	146	234	185	279	115	138	150	161	173
B3galnt1	3	3	3	2	2	1	0	0	0	2	2	3	3	3
B3galnt2	2573	2401	2230	2058	1715	2025	1777	1411	1754	1427	1712	1855	1998	2141
B3galt1	2	1	1	1	1	0	0	0	0	1	1	1	1	2
B3galt2	0	0	0	0	0	1	0	0	2	2	2	3	3	3
B3galt4	224	209	194	179	149	130	179	195	149	211	253	274	295	317
B3galt5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3galt6	756	706	655	605	504	485	527	660	592	677	812	880	948	1016
B3gat1	0	0	0	0	0	0	0	0	0	1	1	1	1	2
B3gat2	35	32	30	28	23	40	36	15	22	14	17	18	20	21
B3gat3	3173	2961	2750	2538	2115	2560	2614	1283	1306	1163	1396	1512	1628	1745
B3glct	2430	2268	2106	1944	1620	1370	1433	1150	1095	1245	1494	1619	1743	1868
B3gnt2	7779	7260	6742	6223	5186	5243	7580	8332	8526	9315	11178	12110	13041	13973
B3gnt3	6101	5694	5287	4880	4067	5015	5051	1704	1975	1801	2161	2341	2521	2702
B3gnt4	2	1	1	1	1	3	4	7	4	6	7	8	8	9
B3gnt5	0	0	0	0	0	0	0	3	0	0	0	0	0	0
B3gnt6	0	0	0	0	0	6	9	3	2	3	4	4	4	5
B3gnt7	36	34	31	29	24	43	29	104	73	70	84	91	98	105
B3gnt8	3	3	3	2	2	6	1	6	0	0	0	0	0	0
B3gnt9	75	70	65	60	50	59	100	30	50	34	41	44	48	51
B3gntl1	563	525	488	450	375	415	493	335	496	311	373	404	435	467
B4galnt1	3728	3479	3231	2982	2485	2573	2856	2218	2365	2185	2622	2841	3059	3278
B4galnt2	2	1	1	1	1	1	1	0	1	0	0	0	0	0
